Ticker,Report Date,Publish Date,Revenue,Net Income,Operating Income (Loss)
APA,2014-03-31,2014-05-09,3675000000,236000000,1518000000
APA,2014-06-30,2014-08-08,3289000000,505000000,1015000000
APA,2014-09-30,2014-11-06,3441000000,-1330000000,-184000000
APA,2014-12-31,2015-02-27,1067000000,-7771000000,-1443000000
APA,2015-03-31,2015-05-08,1630000000,-4651000000,-7365000000
APA,2015-06-30,2015-08-07,2246000000,-860000000,545000000
APA,2015-09-30,2015-11-06,1526000000,-4143000000,-270000000
APA,2015-12-31,2016-02-26,1487000000,-698000000,5181000000
APA,2016-03-31,2016-05-06,1083000000,-372000000,-224000000
APA,2016-06-30,2016-08-04,1382000000,-244000000,43000000
APA,2016-09-30,2016-11-04,1438000000,-607000000,85000000
APA,2016-12-31,2017-02-24,1451000000,-182000000,129000000
APA,2017-03-31,2017-05-05,1878000000,213000000,672000000
APA,2017-06-30,2017-08-04,1384000000,572000000,149000000
APA,2017-09-30,2017-11-03,1575000000,63000000,244000000
APA,2017-12-31,2018-02-23,1586000000,456000000,404000000
APA,2018-03-31,2018-05-03,1742000000,145000000,514000000
APA,2018-06-30,2018-08-02,1929000000,195000000,641000000
APA,2018-09-30,2018-11-01,1983000000,81000000,643000000
APA,2018-12-31,2019-03-01,1770000000,-381000000,285000000
APA,2019-03-31,2019-05-03,1635000000,-2000000,377000000
ATVI,2009-06-30,2009-08-06,1038000000,195000000,233000000
ATVI,2009-09-30,2009-11-06,703000000,15000000,8000000
ATVI,2009-12-31,2010-02-06,1557000000,-286000000,-29000000
ATVI,2010-03-31,2010-05-07,1308000000,381000000,511000000
ATVI,2010-06-30,2010-08-06,967000000,219000000,300000000
ATVI,2010-09-30,2010-11-05,745000000,51000000,55000000
ATVI,2010-12-31,2011-02-25,1427000000,-233000000,-71000000
ATVI,2011-03-31,2011-05-09,1449000000,503000000,693000000
ATVI,2011-06-30,2011-08-05,1146000000,335000000,470000000
ATVI,2011-09-30,2011-11-09,754000000,148000000,165000000
ATVI,2011-12-31,2012-02-28,1406000000,99000000,25000000
ATVI,2012-03-31,2012-05-09,1172000000,384000000,513000000
ATVI,2012-06-30,2012-08-02,1075000000,185000000,227000000
ATVI,2012-09-30,2012-11-07,841000000,226000000,227000000
ATVI,2012-12-31,2013-02-22,1768000000,354000000,484000000
ATVI,2013-03-31,2013-05-08,1324000000,456000000,587000000
ATVI,2013-06-30,2013-08-01,1050000000,324000000,430000000
ATVI,2013-09-30,2013-11-06,691000000,56000000,70000000
ATVI,2013-12-31,2014-03-03,1518000000,174000000,285000000
ATVI,2014-03-31,2014-05-06,1111000000,293000000,427000000
ATVI,2014-06-30,2014-08-05,970000000,204000000,310000000
ATVI,2014-09-30,2014-11-04,753000000,-23000000,8000000
ATVI,2014-12-31,2015-02-26,1574000000,361000000,438000000
ATVI,2015-03-31,2015-05-06,1278000000,394000000,542000000
ATVI,2015-06-30,2015-08-04,1044000000,212000000,332000000
ATVI,2015-09-30,2015-11-06,990000000,127000000,196000000
ATVI,2015-12-31,2016-02-29,1352000000,159000000,249000000
ATVI,2016-03-31,2016-05-09,1455000000,363000000,461000000
ATVI,2016-06-30,2016-08-04,1570000000,127000000,232000000
ATVI,2016-09-30,2016-11-04,1568000000,199000000,294000000
ATVI,2016-12-31,2017-02-28,2015000000,277000000,425000000
ATVI,2017-03-31,2017-05-04,1726000000,426000000,493000000
ATVI,2017-06-30,2017-08-03,1631000000,243000000,339000000
ATVI,2017-09-30,2017-11-02,1618000000,188000000,257000000
ATVI,2017-12-31,2018-02-27,2042000000,-584000000,220000000
ATVI,2018-03-31,2018-05-03,1965000000,500000000,595000000
ATVI,2018-06-30,2018-08-02,1641000000,402000000,434000000
ATVI,2018-09-30,2018-11-08,1512000000,260000000,265000000
ATVI,2018-12-31,2019-02-28,2382000000,651000000,694000000
ATVI,2019-03-31,2019-05-02,1825000000,447000000,627000000
BA,2009-06-30,2009-07-22,17154000000,998000000,1462000000
BA,2009-09-30,2009-10-21,16688000000,-1564000000,-2234000000
BA,2009-12-31,2010-02-08,17937000000,1268000000,1647000000
BA,2010-03-31,2010-04-21,15216000000,519000000,1119000000
BA,2010-06-30,2010-07-28,15573000000,787000000,1254000000
BA,2010-09-30,2010-10-20,16967000000,837000000,1299000000
